osm_id,code,fclass,name,Latitude,Longitude
4511261279,5601,railway_station,Somanur,11° 05' 12.74"" N,077° 11' 8.68"" E
4512893925,5601,railway_station,Singanallur,11° 00' 44.89"" N,077° 02' 20.83"" E
4512893961,5601,railway_station,Irugur Junction,11° 00' 57.4"" N,077° 04' 4.16"" E
4523435051,5601,railway_station,Coimbatore North,11° 01' 6.01"" N,076° 57' 20.6"" E
4529895413,5601,railway_station,Mettur Dam,11° 48' 17.67"" N,077° 49' 22.95"" E
4530788362,5601,railway_station,Perundurai,11° 15' 14.05"" N,077° 37' 43.79"" E
4543308096,5601,railway_station,Valliyur,08° 22' 36.6"" N,077° 36' 51.43"" E
4543689930,5601,railway_station,Sankari Durg,11° 26' 53.03"" N,077° 52' 14.92"" E
4545548088,5601,railway_station,Mavelipalaiyam,11° 28' 57.85"" N,077° 53' 59.78"" E
4558948122,5601,railway_station,Virapandy Road,11° 35' 47.98"" N,078° 04' 28.34"" E
4563245944,5601,railway_station,Ambaturai,10° 16' 21.07"" N,077° 55' 27.52"" E
4688900455,5601,railway_station,Toppur,11° 55' 53.7"" N,078° 04' 12.29"" E
4740275882,5601,railway_station,Walaja Road Junction,12° 58' 15.35"" N,079° 21' 36.71"" E
4760378936,5601,railway_station,Madukkarai,10° 54' 2.37"" N,076° 56' 32.94"" E
4767159308,5601,railway_station,Perungalattur,12° 54' 18.88"" N,080° 05' 42.17"" E
4885083053,5601,railway_station,Tirusulam,12° 58' 49.66"" N,080° 09' 56.86"" E
4885094689,5601,railway_station,Meenambakkam,12° 59' 4.91"" N,080° 10' 30.33"" E
4961511851,5601,railway_station,Peelamedu,11° 01' 57.91"" N,077° 00' 0.11"" E
5232624554,5601,railway_station,Pasupatikovil,10° 52' 57.55"" N,079° 11' 28.24"" E
5239465206,5601,railway_station,Narikkudi,09° 35' 33.25"" N,078° 17' 59.58"" E
5273584429,5601,railway_station,Anavardikhanpettai,13° 03' 2.79"" N,079° 34' 2.08"" E
5273662388,5601,railway_station,Chengalpatttu Junction,12° 41' 36.48"" N,079° 58' 49.86"" E
5273664184,5601,railway_station,Arakkonam Junction,13° 04' 56.42"" N,079° 40' 6.69"" E
5273733276,5601,railway_station,Chromepet,12° 57' 7.88"" N,080° 08' 28.2"" E
5273746526,5601,railway_station,Kattangulathur,12° 48' 20.01"" N,080° 01' 35.88"" E
5273796758,5601,railway_station,Chitteri,13° 04' 4.61"" N,079° 35' 53.24"" E
5273810375,5601,railway_station,Elavur,13° 27' 32.27"" N,080° 06' 57.21"" E
5274094702,5601,railway_station,Ennore,13° 13' 2.89"" N,080° 19' 17.76"" E
